Codigo,Producto,Marca,UN,Cant,Caja,Costo Unit,Total
,ROLINERA 6305 ZZ,LVJ,UN,1,11,,0.00 
,ROLINERA 6304 2RS,KOYO,UN,6,11,,0.00 
,ROLINERA 6304 ZZ,TOPROL,UN,1,11,,0.00 
,ROLINERA 6364 2RS,BTB,UN,3,11,,0.00 
,ROLINERA 6303 ZZ,TIMKEN,UN,14,11,,0.00 
,ROLINERA 6303 2RS C3,KRAFT,UN,1,11,,0.00 
,ROLINERA 6302,XINDA,UN,8,11,,0.00 
,ROLINERA 6301,XINDA,UN,4,11,,0.00 
,ROLINER 6300 2RS C3,TROPOL,UN,1,11,,0.00 
,ROLINERA SET 107,BTB,UN,1,11,,0.00 
,ROLINERA SET 45,BTB,UN,1,11,,0.00 
,ROLINERA 6209 2RS C3,TOPROL,UN,2,11,,0.00 
,ROLINER 6209 2RS ,BTB,UN,1,11,,0.00 
,ROLINERA 6207 2RS ,KOYO,UN,1,11,,0.00 
,ROLINERA 6207 2RS ,LVJ,UN,2,11,,0.00 
,ROLINERA 6010 2RS C3,KRAFT,UN,1,11,,0.00 
,ROLINERA 6206 2RS,ISK,UN,1,11,,0.00 
,ROLINERA 6007 ZZ,LVJ,UN,1,,,0.00 
,ROLINERA 6007 2RS,BTB,UN,2,,,0.00 
,ROLINERA 6006 ZZ,BTB,UN,2,11,2.94,5.88 
,ROLINERA 6006 2RS,LVJ,UN,1,11,2.94,2.94 
,ROLINERA 6205 2RS,LVJ,UN,3,11,,0.00 
,ROLINERA 6205 ,AUTOASIA,UN,4,11,7.07,28.28 
,ROLINERA 6005 2RS ,BTB,UN,2,11,7.07,14.14 
,ROLINERS 6204,AUTOASIA,UN,2,11,2.12,4.24 
,ROLINERA 6204 2RS,ISK,UN,2,11,2.12,4.24 
,ROLINERA 6203 ZZ CM,KOYO,UN,9,11,,0.00 
,ROLINERA 6202 CM ,KOYO,UN,1,11,,0.00 
,ROLINERA 6201 1/2 2RS,MAXWELL,UN,6,11,2.12,12.72 
,ROLINERA 6201 A/C - ZZ,ANETO,UN,1,11,1.38,1.38 
,ROLINERA 6200,XINDA,UN,7,11,1.08,7.56 
,ROLINERA 6201 RS 1/2,BROWN,UN,1,11,2.12,2.12 
,ROLINERA 6201 2RS,KRAFT,UN,1,11,1.38,1.38 
,ROLINERA 6004 ZZ,TOPROL,UN,1,11,2.12,2.12 
,ROLINERA 6003 ZZ,TOPROL,UN,2,11,,0.00 
,ROLINERA 6000 ZZ,TIMKEN,UN,1,11,,0.00 
,ROLINERA 6905 ,AUTOASIA,UN,4,11,,0.00 
,ROLINERA 6902,AUTOASIA,UN,1,11,,0.00 
,ROLINERA 627 2RS,LVJ,UN,6,11,,0.00 
,ROLINERA 608 ZZ,BAL,UN,7,11,0.69,4.83 
